iter	Passed	Remaining
0	1	155
1	2	144
2	4	136
3	5	127
4	6	125
5	7	123
6	9	120
7	10	120
8	11	120
9	13	119
10	14	117
11	15	116
12	17	114
13	18	113
14	19	112
15	21	110
16	22	109
17	23	107
18	25	107
19	26	106
20	28	105
21	29	104
22	30	102
23	32	101
24	33	99
25	34	98
26	35	97
27	37	95
28	38	94
29	40	94
30	41	93
31	43	91
32	44	90
33	45	88
34	47	88
35	48	86
36	49	85
37	51	83
38	52	82
39	53	80
40	55	79
41	56	77
42	57	76
43	58	74
44	59	73
45	61	71
46	62	70
47	63	69
48	65	67
49	66	66
50	67	65
51	69	63
52	70	62
53	71	61
54	72	59
55	74	58
56	75	56
57	76	55
58	78	54
59	79	53
60	81	51
61	82	50
62	84	49
63	85	48
64	86	46
65	88	45
66	89	43
67	90	42
68	91	41
69	93	39
70	94	38
71	95	37
72	97	36
73	99	34
74	100	33
75	101	32
76	103	30
77	104	29
78	105	28
79	106	26
80	108	25
81	109	24
82	110	22
83	112	21
84	114	20
85	115	18
86	116	17
87	117	16
88	119	14
89	120	13
90	121	12
91	123	10
92	124	9
93	126	8
94	127	6
95	128	5
96	130	4
97	131	2
98	132	1
99	133	0
