iter	Passed	Remaining
0	135	135024
1	136	68031
2	137	45693
3	138	34509
4	139	27801
5	140	23334
6	141	20121
7	142	17707
8	143	15850
9	145	14355
10	146	13130
11	147	12107
12	148	11246
13	149	10514
14	150	9885
15	151	9325
16	152	8831
17	153	8398
18	154	7999
19	155	7640
20	156	7314
21	157	7019
22	158	6750
23	159	6499
24	160	6271
25	161	6058
26	163	5875
27	164	5699
28	165	5531
29	166	5373
30	167	5222
31	168	5083
32	168	4951
33	169	4827
34	170	4709
35	171	4598
36	172	4496
37	173	4397
38	174	4302
39	175	4211
40	176	4128
41	177	4051
42	178	3976
43	179	3902
44	180	3831
45	181	3763
46	182	3698
47	183	3637
48	184	3577
49	185	3521
50	186	3467
51	187	3414
52	188	3363
53	189	3314
54	193	3320
55	194	3275
56	195	3231
57	196	3187
58	197	3147
59	198	3106
60	199	3067
61	200	3028
62	201	2990
63	202	2954
64	202	2919
65	204	2888
66	205	2856
67	206	2826
68	207	2797
69	208	2768
70	209	2739
71	210	2711
72	211	2684
73	212	2656
74	213	2630
75	214	2605
76	215	2579
77	216	2554
78	216	2529
79	218	2510
80	219	2487
81	220	2464
82	220	2438
83	221	2418
84	222	2398
85	223	2377
86	224	2358
87	225	2338
88	226	2319
89	227	2299
90	228	2280
91	229	2262
92	230	2244
93	231	2227
94	232	2211
95	233	2194
96	234	2179
97	235	2164
98	236	2149
99	237	2135
100	238	2120
101	239	2107
102	240	2094
103	241	2080
104	242	2066
105	243	2052
106	244	2038
107	245	2025
108	246	2012
109	247	1999
110	247	1985
111	248	1972
112	249	1960
113	250	1950
114	251	1938
115	252	1926
116	253	1913
117	254	1902
118	255	1891
119	256	1879
120	257	1868
121	257	1856
122	258	1845
123	259	1835
124	260	1824
125	261	1814
126	262	1802
127	263	1792
128	264	1782
129	265	1774
130	266	1766
131	267	1756
132	268	1747
133	268	1738
134	269	1728
135	270	1719
136	271	1710
137	272	1702
138	273	1693
139	274	1684
140	275	1676
141	275	1666
142	276	1658
143	277	1650
144	278	1643
145	279	1635
146	280	1628
147	282	1623
148	283	1617
149	284	1609
150	284	1602
151	285	1594
152	286	1587
153	287	1579
154	288	1572
155	289	1565
156	290	1558
157	291	1551
158	292	1544
159	293	1539
160	293	1531
161	295	1526
162	296	1520
163	297	1515
164	298	1508
165	299	1502
166	300	1496
167	300	1490
168	301	1484
169	302	1478
170	303	1473
171	304	1467
172	305	1461
173	306	1456
174	307	1450
175	308	1444
176	309	1438
177	310	1434
178	311	1429
179	312	1423
180	313	1418
181	314	1412
182	315	1407
183	316	1401
184	316	1396
185	317	1390
186	318	1385
187	319	1380
188	320	1375
189	321	1370
190	322	1365
191	323	1360
192	324	1355
193	325	1350
194	326	1346
195	327	1342
196	328	1337
197	329	1332
198	330	1328
199	330	1323
200	331	1319
201	332	1314
202	333	1309
203	334	1305
204	335	1301
205	336	1297
206	337	1293
207	338	1289
208	339	1285
209	340	1280
210	341	1277
211	342	1273
212	343	1270
213	345	1267
214	346	1263
215	347	1260
216	348	1256
217	349	1253
218	350	1249
219	351	1246
220	352	1242
221	353	1239
222	355	1237
223	356	1234
224	357	1231
225	358	1228
226	359	1225
227	361	1222
228	362	1218
229	363	1215
230	364	1211
231	364	1208
232	366	1204
233	366	1201
234	368	1198
235	369	1195
236	370	1192
237	371	1190
238	372	1186
239	373	1183
240	374	1179
241	375	1176
242	376	1172
243	377	1169
244	378	1166
245	379	1163
246	380	1160
247	381	1157
248	382	1154
249	383	1151
250	384	1148
251	386	1145
252	386	1142
253	387	1139
254	388	1136
255	389	1132
256	390	1129
257	391	1126
258	392	1123
259	393	1120
260	394	1117
261	395	1114
262	398	1117
263	399	1115
264	400	1111
265	402	1109
266	403	1106
267	403	1103
268	404	1100
269	405	1097
270	406	1094
271	407	1091
272	408	1088
273	409	1085
274	410	1082
275	411	1080
276	412	1077
277	414	1075
278	415	1073
279	416	1071
280	417	1068
281	418	1065
282	419	1062
283	420	1059
284	421	1056
285	421	1053
286	422	1050
287	423	1047
288	424	1044
289	425	1041
290	426	1039
291	427	1036
292	428	1033
293	429	1030
294	430	1028
295	431	1025
296	432	1023
297	433	1020
298	434	1018
299	435	1015
300	436	1013
301	437	1010
302	438	1007
303	439	1005
304	439	1002
305	440	999
306	441	996
307	442	994
308	443	991
309	444	989
310	445	987
311	446	984
312	447	982
313	448	979
314	449	977
315	450	974
316	451	972
317	452	969
318	452	966
319	453	964
320	454	961
321	455	959
322	456	956
323	457	954
324	458	952
325	459	950
326	460	947
327	461	945
328	462	942
329	463	940
330	464	937
331	464	935
332	465	933
333	466	930
334	467	928
335	468	925
336	469	923
337	470	920
338	470	918
339	471	915
340	472	913
341	473	911
342	474	909
343	475	907
344	476	905
345	477	902
346	478	900
347	479	898
348	480	895
349	481	893
350	481	891
351	482	888
352	483	886
353	484	884
354	485	881
355	486	879
356	487	877
357	488	875
358	489	873
359	490	871
360	491	869
361	492	867
362	492	865
363	493	863
364	494	860
365	495	858
366	496	856
367	497	854
368	498	852
369	499	850
370	500	847
371	501	845
372	502	843
373	502	841
374	503	839
375	504	837
376	505	835
377	506	833
378	507	831
379	508	829
380	509	827
381	510	825
382	511	823
383	511	821
384	512	819
385	513	817
386	514	815
387	515	813
388	516	811
389	517	809
390	518	807
391	519	805
392	520	803
393	521	802
394	522	800
395	523	798
396	524	796
397	525	794
398	526	792
399	527	790
400	528	788
401	528	786
402	530	785
403	530	783
